Date,Text,Sentiment,,,,,,,,,
12-11-2020 03:18,"RT @MangiesShop: #smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget, #huawai, #i…",Neutral,,,,,,,,,
12-11-2020 03:18,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 03:18,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:17,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:17,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Spam,,,,,,,,,
12-11-2020 03:16,"@nekojitaa @Kas_610 @9to5mac @michaelpotuck The best Google phone is probably an iPhone SE, at least YouTube runs on that—when I had a Pixel 3 it was crashing &amp; burning. Never had any issues with my Galaxy doing that",Positive,,,,,,,,,
12-11-2020 03:16,"The First Brand in This Picture is -
1) Dell - Laptop
2)OnePlus-2nd SmartPhone
3)SamSung-3rd SmartPhone
Hope I Win this😓
@amazonIN #AmazonFinaleDays https://t.co/xAIGZD2kIv",Positive,,,,,,,,,
12-11-2020 03:15,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 03:15,RT @MilkywayEssent: #Adventure #Sun Planets &amp; Constellations Soft Phone Case for iPhone &amp; Samsung Galaxy https://t.co/pkLjUDQyGj,Neutral,,,,,,,,,
12-11-2020 03:15,"#smartphone, #pro, #android, #samsung, #apple, #tech, #phone, #xiaomi, #mobile, #nokia, #oneplus, #s, #gadget, #huawai, #ios, #realme, #gadgets, #technews
Show now 👉 👉https://t.co/IOFE4j0Ukh or Retweet😍 https://t.co/0xtJiDxS5O",Spam,,,,,,,,,
12-11-2020 03:14,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:14,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:14,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Positive,,,,,,,,,
12-11-2020 03:13,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Positive,,,,,,,,,
12-11-2020 03:13,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:12,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:12,#Adventure #Sun Planets &amp; Constellations Soft Phone Case for iPhone &amp; Samsung Galaxy https://t.co/pkLjUDQyGj,Neutral,,,,,,,,,
12-11-2020 03:12,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 03:12,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:11,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Positive,,,,,,,,,
12-11-2020 03:10,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Positive,,,,,,,,,
12-11-2020 03:10,#beauty #beautiful #girl Smart Mirror Flip Phone Case Samsung Galaxy https://t.co/b1grfXwdOB,Positive,,,,,,,,,
