Date,Text,UserName,ScreenName,Bio,FollowersCount,FollowingCount,Language,RetweetCount,Location,Id_str,Source,Link
2020-11-12 03:42:30,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",📌PO MESSAGE✨𝐇𝐒 𝐂𝐇𝐀𝐏.𝟑 • ˢᵃˡᵘᵗᵉ • ᵐᵉˢˢᵃᵍᵉ,11jihoon_w1,"Always miss wanna one (fan account)
Wannable✨Babal✨Ha:Neul✨ L.O.V.E✨WELO✨WIN:D✨Danity✨MAYS✨ABNEW✨FIX✨Kuanlin's (selective following)",905,2531,en,48,wannaone's,1326732073982255105,Twitter for Android,https://twitter.com/11jihoon_w1/status/1326732073982255105
2020-11-12 03:42:19,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",laurieᴱᴺ⁻ ⁷ is looking for engene moots!,iceyhoonie_,new account!! 🤗 @ENHYPEN_members,132,180,en,68,she/her,1326732025470988288,Twitter for Android,https://twitter.com/iceyhoonie_/status/1326732025470988288
2020-11-12 03:41:08,"Samsung Galaxy A01 (A015M) 16GB, Dual SIM, GSM Unlocked, 5.7” Display Smartphone - International Version - Red https://t.co/HxxrwctJ1L https://t.co/6wi5EzY6m1",HotDeals,xrpvdfms,,102,0,en,0,,1326731728904351744,Twitter Web App,https://twitter.com/xrpvdfms/status/1326731728904351744
2020-11-12 03:40:17,RT @PopSci: Seven Samsung Galaxy tricks you can’t do on any other phone https://t.co/r31flqjMEX https://t.co/HfoziM12nI,Tonino Claros,toninoclaros,,202,560,en,4,"Antiguo Cuscatlán, El Salvador",1326731517603745793,Twitter for Android,https://twitter.com/toninoclaros/status/1326731517603745793
2020-11-12 03:40:07,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Gaeul ✜ • ᴱᴺ⁻ D-18 I ⟭⟬ᴮᴱ D-8 ✪,GardenJungwon7,#𝐁𝐓𝐒#𝐄𝐍𝐇𝐘𝐏𝐄𝐍#𝐓𝐗𝐓 (she) 24/7 #냥정원✰Fan Account✰(Wonki - Heewon - jaywon)  ✪                               ✰ #Thingswillgetbetter #GetWellSoonYoongi✰,73,358,en,68,•14• (페루) ♡Gaeul is studying♡,1326731472275968001,Twitter Web App,https://twitter.com/GardenJungwon7/status/1326731472275968001
2020-11-12 03:39:30,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",J,jimcar_,my baby @/boutiquedelune in instagram 🤍,96,204,en,9,the big apple,1326731317090820097,Twitter for iPhone,https://twitter.com/jimcar_/status/1326731317090820097
2020-11-12 03:38:45,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",ᴮᴱMini Mini⁷ 💜,chim_chim13_,이상하다는 것은 왠지 귀엽다,19,55,en,2085,라지벌랄라랜드,1326731128250658817,Twitter for Android,https://twitter.com/chim_chim13_/status/1326731128250658817
2020-11-12 03:37:22,"I’m back in LA and I saw my dad with my old Oneplus 7 Pro after switching to my iPhone 11 and that 1440p 90 hertz amoled screen on the 7 pro. i kinda want to switch back, I forgot how good that screen is😬😬😬😬",Alex,XDogeee,¯\_(ツ)_/¯,93,601,en,0,My house,1326730783264968710,Twitter for iPhone,https://twitter.com/XDogeee/status/1326730783264968710
2020-11-12 03:36:50,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",ᴮᴱLALA⁷,btsjunkie7,always remember that you are the sparkling gem - wwh ♡,365,463,en,9,she/her,1326730647507853312,Twitter for Android,https://twitter.com/btsjunkie7/status/1326730647507853312
2020-11-12 03:34:55,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",BTS Lucky ⁷ 🇲🇾 Malaysia GO,BTS_Lucky7GO,BTS Malaysia GOM 🇲🇾 || ENG / 中文 / BM || 💌 DM for requests || ❤️ Likes = On Going GOs,1197,133,en,9,Malaysia,1326730163392974848,Twitter for iPhone,https://twitter.com/BTS_Lucky7GO/status/1326730163392974848
2020-11-12 03:34:41,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",remi ☁️☄️,flowongarden,"░ with Wonnie,no worrie ░                                              
𖦹enhypen | christian | she/her",569,547,en,68,NE India (mizo) ,1326730106560278528,Twitter for Android,https://twitter.com/flowongarden/status/1326730106560278528
